"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q78","You must lend me these, Basil, I want to
learn them. They are perfectly charming.","['You must lend me these, Basil,', 'I want to\nlearn them. They are perfectly charming.']","[[29016, 29046], [29059, 29109]]","Dorian Gray","['Basil Hallward']","Anaphoric","he cried","[['You', 'Basil'], []]","[[[29016, 29019], [29040, 29045]], []]","[[['Basil Hallward'], ['Basil Hallward']], []]"
"Q79","That entirely depends on how you sit to-day, Dorian.","['That entirely depends on how you sit to-day, Dorian.']","[[29113, 29165]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Implicit","nan","[['you', 'Dorian']]","[[[29142, 29145], [29158, 29164]]]","[[['Dorian Gray'], ['Dorian Gray']]]"
"Q80","Oh, I am tired of sitting, and I don t want a life-sized portrait of
myself,","['Oh, I am tired of sitting, and I don t want a life-sized portrait of\nmyself,']","[[29169, 29245]]","Dorian Gray","['Basil Hallward']","Anaphoric","answered the lad","[[]]","[[]]","[[]]"
"Q81","I beg your
pardon, Basil, but I didn t know you had any one with you.","['I beg your\npardon, Basil, but I didn t know you had any one with you.']","[[29433, 29502]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Anaphoric","he started up","[['your', 'Basil', 'you', 'you']]","[[[29439, 29443], [29452, 29457], [29477, 29480], [29498, 29501]]]","[[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward']]]"
"Q82","This is Lord Henry Wotton, Dorian, an old Oxford friend of mine. I
have just been telling him what a capital sitter you were, and now you
have spoiled everything.","['This is Lord Henry Wotton, Dorian, an old Oxford friend of mine. I\nhave just been telling him what a capital sitter you were, and now you\nhave spoiled everything.']","[[29506, 29668]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Implicit","nan","[['Lord Henry Wotton', 'Henry', 'Wotton', 'Dorian', 'an old Oxford friend of mine', 'him']]","[[[29514, 29531], [29519, 29524], [29525, 29531], [29533, 29539], [29541, 29569], [29596, 29599]]]","[[['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Dorian Gray'], ['Henry'], ['Lord Henry']]]"
"Q83","You have not spoiled my pleasure in meeting you, Mr. Gray, My aunt has often
spoken to me about you. You are one of her favourites, and, I am
afraid, one of her victims also.","['You have not spoiled my pleasure in meeting you, Mr. Gray,', 'My aunt has often\nspoken to me about you. You are one of her favourites, and, I am\nafraid, one of her victims also.']","[[29672, 29730], [29791, 29906]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Explicit","said Lord Henry","[['You', 'you', 'Mr. Gray'], ['My aunt', 'you', 'You', 'her', 'her']]","[[[29672, 29675], [29716, 29719], [29721, 29729]], [[29791, 29798], [29828, 29831], [29833, 29836], [29848, 29851], [29889, 29892]]]","[[['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray']], [['Lady Agatha'], ['Dorian Gray'], ['Dorian Gray'], ['Lady Agatha'], ['Lady Agatha']]]"
"Q84","I am in Lady Agatha s black books at present, I promised to go to a club in Whitechapel
with her last Tuesday, and I really forgot all about it. We were to
have played a duet together three duets, I believe. I don t know what
she will say to me. I am far too frightened to call.","['I am in Lady Agatha s black books at present,', 'I promised to go to a club in Whitechapel\nwith her last Tuesday, and I really forgot all about it. We were to\nhave played a duet together three duets, I believe. I don t know what\nshe will say to me. I am far too frightened to call.']","[[29910, 29955], [30006, 30238]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Explicit","answered Dorian","[['Lady Agatha'], ['her', 'We', 'she']]","[[[29918, 29929]], [[30053, 30056], [30105, 30107], [30186, 30189]]]","[[['Lady Agatha']], [['Lady Agatha'], ['Dorian Gray', 'Lady Agatha'], ['Lady Agatha']]]"
"Q85","Oh, I will make your peace with my aunt. She is quite devoted to you.
And I don t think it really matters about your not being there. The
audience probably thought it was a duet. When Aunt Agatha sits down to
the piano, she makes quite enough noise for two people.","['Oh, I will make your peace with my aunt. She is quite devoted to you.\nAnd I don t think it really matters about your not being there. The\naudience probably thought it was a duet. When Aunt Agatha sits down to\nthe piano, she makes quite enough noise for two people.']","[[30242, 30506]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['your', 'my aunt', 'She', 'you', 'your', 'Aunt Agatha', 'she']]","[[[30258, 30262], [30274, 30281], [30283, 30286], [30307, 30310], [30354, 30358], [30426, 30437], [30462, 30465]]]","[[['Dorian Gray'], ['Lady Agatha'], ['Lady Agatha'], ['Dorian Gray'], ['Dorian Gray'], ['Lady Agatha'], ['Lady Agatha']]]"
"Q86","That is very horrid to her, and not very nice to me,","['That is very horrid to her, and not very nice to me,']","[[30510, 30562]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Explicit","answered Dorian","[['her']]","[[[30533, 30536]]]","[[['Lady Agatha']]]"
"Q87","You are too charming to go in for philanthropy, Mr. Gray far too
charming.","['You are too charming to go in for philanthropy, Mr. Gray far too\ncharming.']","[[30987, 31061]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['You', 'Mr. Gray']]","[[[30987, 30990], [31035, 31043]]]","[[['Dorian Gray'], ['Dorian Gray']]]"
"Q88","Harry, I want to finish this picture to-day. Would you think it
awfully rude of me if I asked you to go away?","['Harry, I want to finish this picture to-day. Would you think it\nawfully rude of me if I asked you to go away?']","[[31345, 31454]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Anaphoric","he glanced at him hesitated for a moment and then said","[['Harry', 'you', 'you']]","[[[31345, 31350], [31396, 31399], [31439, 31442]]]","[[['Lord Henry'], ['Lord Henry'], ['Lord Henry']]]"
"Q89","Am I to go, Mr. Gray?","['Am I to go, Mr. Gray?']","[[31503, 31524]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Anaphoric","he asked","[['Mr. Gray']]","[[[31515, 31523]]]","[[['Dorian Gray']]]"
"Q90","Oh, please don t, Lord Henry. I see that Basil is in one of his sulky
moods, and I can t bear him when he sulks. Besides, I want you to tell
me why I should not go in for philanthropy.","['Oh, please don t, Lord Henry. I see that Basil is in one of his sulky\nmoods, and I can t bear him when he sulks. Besides, I want you to tell\nme why I should not go in for philanthropy.']","[[31538, 31722]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Implicit","nan","[['Lord Henry', 'Henry', 'Basil', 'his', 'him', 'he', 'you']]","[[[31556, 31566], [31561, 31566], [31579, 31584], [31598, 31601], [31632, 31635], [31641, 31643], [31667, 31670]]]","[[['Lord Henry'], ['Lord Henry'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Lord Henry']]]"
"Q91","I don t know that I shall tell you that, Mr. Gray. It is so tedious a
subject that one would have to talk seriously about it. But I certainly
shall not run away, now that you have asked me to stop. You don t
really mind, Basil, do you? You have often told me that you liked your
sitters to have some one to chat to.","['I don t know that I shall tell you that, Mr. Gray. It is so tedious a\nsubject that one would have to talk seriously about it. But I certainly\nshall not run away, now that you have asked me to stop. You don t\nreally mind, Basil, do you? You have often told me that you liked your\nsitters to have some one to chat to.']","[[31726, 32041]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['you', 'Mr. Gray', 'you', 'You', 'Basil', 'you', 'You', 'you', 'your']]","[[[31757, 31760], [31767, 31775], [31897, 31900], [31924, 31927], [31947, 31952], [31957, 31960], [31962, 31965], [31990, 31993], [32000, 32004]]]","[[['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward']]]"
"Q92","If Dorian wishes it, of course you must stay.
Dorian s whims are laws to everybody, except himself.","['If Dorian wishes it, of course you must stay.\nDorian s whims are laws to everybody, except himself.']","[[32067, 32166]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Implicit","nan","[['Dorian', 'you', 'Dorian']]","[[[32070, 32076], [32098, 32101], [32113, 32119]]]","[[['Dorian Gray'], ['Lord Henry'], ['Dorian Gray']]]"
"Q93","You are very pressing, Basil,
but I am afraid I must go. I have promised to meet a man at the
Orleans. Good-bye, Mr. Gray. Come and see me some afternoon in Curzon
Street. I am nearly always at home at five o clock. Write to me when
you are coming. I should be sorry to miss you.","['You are very pressing, Basil,\nbut I am afraid I must go. I have promised to meet a man at the\nOrleans. Good-bye, Mr. Gray. Come and see me some afternoon in Curzon\nStreet. I am nearly always at home at five o clock. Write to me when\nyou are coming. I should be sorry to miss you.']","[[32209, 32488]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['You', 'Basil', 'Mr. Gray', 'you', 'you']]","[[[32209, 32212], [32232, 32237], [32322, 32330], [32442, 32445], [32484, 32487]]]","[[['Basil Hallward'], ['Basil Hallward'], ['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray']]]"
"Q94","Basil, if Lord Henry Wotton goes, I shall go,
too. You never open your lips while you are painting, and it is
horribly dull standing on a platform and trying to look pleasant. Ask
him to stay. I insist upon it.","['Basil,', 'if Lord Henry Wotton goes, I shall go,\ntoo. You never open your lips while you are painting, and it is\nhorribly dull standing on a platform and trying to look pleasant. Ask\nhim to stay. I insist upon it.']","[[32492, 32498], [32520, 32723]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Explicit","cried Dorian Gray","[['Basil'], ['Lord Henry Wotton', 'Henry', 'Wotton', 'You', 'your', 'you', 'him']]","[[[32492, 32497]], [[32523, 32540], [32528, 32533], [32534, 32540], [32564, 32567], [32579, 32583], [32595, 32598], [32693, 32696]]]","[[['Basil Hallward']], [['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Lord Henry']]]"
"Q95","Stay, Harry, to oblige Dorian, and to oblige me, It is quite true, I never talk when I
am working, and never listen either, and it must be dreadfully tedious
for my unfortunate sitters. I beg you to stay.","['Stay, Harry, to oblige Dorian, and to oblige me,', 'It is quite true, I never talk when I\nam working, and never listen either, and it must be dreadfully tedious\nfor my unfortunate sitters. I beg you to stay.']","[[32727, 32775], [32825, 32980]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Explicit","said Hallward","[['Harry', 'Dorian'], ['you']]","[[[32733, 32738], [32750, 32756]], [[32968, 32971]]]","[[['Lord Henry'], ['Dorian Gray']], [['Lord Henry']]]"
"Q96","But what about my man at the Orleans?","['But what about my man at the Orleans?']","[[32984, 33021]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[[]]","[[]]","[[]]"
"Q97","I don t think there will be any difficulty about
that. Sit down again, Harry. And now, Dorian, get up on the platform,
and don t move about too much, or pay any attention to what Lord Henry
says. He has a very bad influence over all his friends, with the single
exception of myself.","['I don t think there will be any difficulty about\nthat. Sit down again, Harry. And now, Dorian, get up on the platform,\nand don t move about too much, or pay any attention to what Lord Henry\nsays. He has a very bad influence over all his friends, with the single\nexception of myself.']","[[33046, 33328]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Implicit","nan","[['Harry', 'Dorian', 'Lord Henry', 'Henry', 'He', 'his']]","[[[33117, 33122], [33133, 33139], [33225, 33235], [33230, 33235], [33242, 33244], [33279, 33282]]]","[[['Lord Henry'], ['Dorian Gray'], ['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Lord Henry']]]"
"Q98","Have you really a very bad influence, Lord
Henry? As bad as Basil says?","['Have you really a very bad influence, Lord\nHenry? As bad as Basil says?']","[[33624, 33695]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Anaphoric","he said to him","[['you', 'Lord\nHenry', 'Henry', 'Basil']]","[[[33629, 33632], [33662, 33672], [33667, 33672], [33684, 33689]]]","[[['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Basil Hallward']]]"
"Q99","There is no such thing as a good influence, Mr. Gray. All influence is
immoral immoral from the scientific point of view.","['There is no such thing as a good influence, Mr. Gray. All influence is\nimmoral immoral from the scientific point of view.']","[[33699, 33820]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['Mr. Gray']]","[[[33743, 33751]]]","[[['Dorian Gray']]]"
"Q100","Why?","['Why?']","[[33824, 33828]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Implicit","nan","[[]]","[[]]","[[]]"
"Q101","Because to influence a person is to give him one s own soul. He does
not think his natural thoughts, or burn with his natural passions. His
virtues are not real to him. His sins, if there are such things as
sins, are borrowed. He becomes an echo of some one else s music, an
actor of a part that has not been written for him. The aim of life is
self-development. To realize one s nature perfectly that is what each
of us is here for. People are afraid of themselves, nowadays. They have
forgotten the highest of all duties, the duty that one owes to one s
self. Of course, they are charitable. They feed the hungry and clothe
the beggar. But their own souls starve, and are naked. Courage has gone
out of our race. Perhaps we never really had it. The terror of society,
which is the basis of morals, the terror of God, which is the secret of
religion these are the two things that govern us. And yet","['Because to influence a person is to give him one s own soul. He does\nnot think his natural thoughts, or burn with his natural passions. His\nvirtues are not real to him. His sins, if there are such things as\nsins, are borrowed. He becomes an echo of some one else s music, an\nactor of a part that has not been written for him. The aim of life is\nself-development. To realize one s nature perfectly that is what each\nof us is here for. People are afraid of themselves, nowadays. They have\nforgotten the highest of all duties, the duty that one owes to one s\nself. Of course, they are charitable. They feed the hungry and clothe\nthe beggar. But their own souls starve, and are naked. Courage has gone\nout of our race. Perhaps we never really had it. The terror of society,\nwhich is the basis of morals, the terror of God, which is the secret of\nreligion these are the two things that govern us. And yet']","[[33832, 34732]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['their']]","[[[34474, 34479]]]","[[['Lord Henry']]]"
"Q102","Just turn your head a little more to the right, Dorian, like a good
boy,","['Just turn your head a little more to the right, Dorian, like a good\nboy,']","[[34736, 34808]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Anaphoric","said the painter","[['your', 'Dorian']]","[[[34746, 34750], [34784, 34790]]]","[[['Dorian Gray'], ['Dorian Gray']]]"
"Q103","And yet, I believe that if one man
were to live out his life fully and completely, were to give form to
every feeling, expression to every thought, reality to every dream I
believe that the world would gain such a fresh impulse of joy that we
would forget all the maladies of medi valism, and return to the
Hellenic ideal to something finer, richer than the Hellenic ideal, it
may be. But the bravest man amongst us is afraid of himself. The
mutilation of the savage has its tragic survival in the self-denial
that mars our lives. We are punished for our refusals. Every impulse
that we strive to strangle broods in the mind and poisons us. The body
sins once, and has done with its sin, for action is a mode of
purification. Nothing remains then but the recollection of a pleasure,
or the luxury of a regret. The only way to get rid of a temptation is
to yield to it. Resist it, and your soul grows sick with longing for
the things it has forbidden to itself, with desire for what its
monstrous laws have made monstrous and unlawful. It has been said that
the great events of the world take place in the brain. It is in the
brain, and the brain only, that the great sins of the world take place
also. You, Mr. Gray, you yourself, with your rose-red youth and your
rose-white boyhood, you have had passions that have made you afraid,
thoughts that have filled you with terror, day-dreams and sleeping
dreams whose mere memory might stain your cheek with shame","['And yet,', 'I believe that if one man\nwere to live out his life fully and completely, were to give form to\nevery feeling, expression to every thought, reality to every dream I\nbelieve that the world would gain such a fresh impulse of joy that we\nwould forget all the maladies of medi valism, and return to the\nHellenic ideal to something finer, richer than the Hellenic ideal, it\nmay be. But the bravest man amongst us is afraid of himself. The\nmutilation of the savage has its tragic survival in the self-denial\nthat mars our lives. We are punished for our refusals. Every impulse\nthat we strive to strangle broods in the mind and poisons us. The body\nsins once, and has done with its sin, for action is a mode of\npurification. Nothing remains then but the recollection of a pleasure,\nor the luxury of a regret. The only way to get rid of a temptation is\nto yield to it. Resist it, and your soul grows sick with longing for\nthe things it has forbidden to itself, with desire for what its\nmonstrous laws have made monstrous and unlawful. It has been said that\nthe great events of the world take place in the brain. It is in the\nbrain, and the brain only, that the great sins of the world take place\nalso. You, Mr. Gray, you yourself, with your rose-red youth and your\nrose-white boyhood, you have had passions that have made you afraid,\nthoughts that have filled you with terror, day-dreams and sleeping\ndreams whose mere memory might stain your cheek with shame']","[[34944, 34952], [35125, 36576]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Explicit","continued Lord Henry","[[], ['You', 'Mr. Gray', 'you', 'your', 'your', 'you', 'you', 'you', 'your']]","[[], [[36318, 36321], [36323, 36331], [36333, 36336], [36352, 36356], [36376, 36380], [36401, 36404], [36438, 36441], [36476, 36479], [36554, 36558]]]","[[], [['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray']]]"
"Q104","Stop! stop! you bewilder me. I don t know what
to say. There is some answer to you, but I cannot find it. Don t speak.
Let me think. Or, rather, let me try not to think.","['Stop!', 'stop! you bewilder me. I don t know what\nto say. There is some answer to you, but I cannot find it. Don t speak.\nLet me think. Or, rather, let me try not to think.']","[[36580, 36585], [36610, 36773]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Explicit","faltered Dorian Gray","[[], ['you', 'you']]","[[], [[36616, 36619], [36683, 36686]]]","[[], [['Lord Henry'], ['Lord Henry']]]"
"Q105","Basil, I am tired of standing, I must go
out and sit in the garden. The air is stifling here.","['Basil, I am tired of standing,', 'I must go\nout and sit in the garden. The air is stifling here.']","[[38689, 38719], [38750, 38812]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Explicit","cried Dorian Gray","[['Basil'], []]","[[[38689, 38694]], []]","[[['Basil Hallward']], []]"
"Q106","My dear fellow, I am so sorry. When I am painting, I can t think of
anything else. But you never sat better. You were perfectly still. And
I have caught the effect I wanted the half-parted lips and the bright
look in the eyes. I don t know what Harry has been saying to you, but
he has certainly made you have the most wonderful expression. I suppose
he has been paying you compliments. You mustn t believe a word that he
says.","['My dear fellow, I am so sorry. When I am painting, I can t think of\nanything else. But you never sat better. You were perfectly still. And\nI have caught the effect I wanted the half-parted lips and the bright\nlook in the eyes. I don t know what Harry has been saying to you, but\nhe has certainly made you have the most wonderful expression. I suppose\nhe has been paying you compliments. You mustn t believe a word that he\nsays.']","[[38816, 39243]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Implicit","nan","[['My dear fellow', 'you', 'You', 'Harry', 'you', 'he', 'you', 'he', 'you', 'You', 'he']]","[[[38816, 38830], [38903, 38906], [38925, 38928], [39061, 39066], [39086, 39089], [39095, 39097], [39117, 39120], [39167, 39169], [39186, 39189], [39203, 39206], [39235, 39237]]]","[[['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray'], ['Lord Henry'], ['Dorian Gray'], ['Lord Henry'], ['Dorian Gray'], ['Lord Henry'], ['Dorian Gray'], ['Dorian Gray'], ['Lord Henry']]]"
